Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2026-04-30T18:09:25.963946Z,,STOCKS PROMOTION REWARD,,,USD 3,USD,1.1752
2026-04-30T18:09:26.353Z,NFLX,BUY - MARKET,0.01066276,USD 93.78,USD 1,USD,1.1752
2026-04-30T18:09:26.366Z,TSLA,BUY - MARKET,0.00262603,USD 380.80,USD 1,USD,1.1752
2026-04-30T18:09:26.798Z,AAPL,BUY - MARKET,0.00364752,USD 274.16,USD 1,USD,1.1752
2026-06-01T13:31:45.137Z,NFLX,SELL - MARKET,0.01066276,USD 86.28,USD 0.92,USD,1.1650
2026-06-01T13:31:45.187Z,TSLA,SELL - MARKET,0.00262603,USD 426.50,USD 1.12,USD,1.1650
2026-06-01T13:32:14.331Z,AAPL,SELL - MARKET,0.00364752,USD 309.80,USD 1.11,USD,1.1650
2026-06-01T13:37:14.176933Z,,STOCKS PROMOTION CLAWBACK,,,USD -0.92,USD,1.1649
2026-06-01T13:38:51.724302Z,,STOCKS PROMOTION CLAWBACK,,,USD -1.12,USD,1.1653
2026-06-01T14:07:28.987233Z,,STOCKS PROMOTION CLAWBACK,,,USD -1.11,USD,1.1635
2026-06-02T18:11:15.386867Z,,CASH TOP-UP,,,USD 3478.01,USD,1.1644
2026-06-02T18:16:14.492Z,NVDA,BUY - MARKET,5,USD 223.16,USD 1115.82,USD,1.1644
2026-06-02T18:17:06.509Z,TSM,BUY - MARKET,1,USD 444.64,USD 444.64,USD,1.1644
2026-06-02T18:18:37.583Z,AAPL,BUY - MARKET,3,USD 314.10,USD 942.29,USD,1.1643
2026-06-02T18:21:36.512Z,MA,BUY - MARKET,1,USD 482.47,USD 482.47,USD,1.1640
2026-06-02T18:22:10.536Z,AAL,BUY - MARKET,20,USD 13.90,USD 278,USD,1.1643
2026-06-02T18:22:59.179Z,KO,BUY - MARKET,2,USD 78.36,USD 156.71,USD,1.1645
2026-06-02T18:24:42.097Z,CNH,BUY - MARKET,5,USD 10.91,USD 54.55,USD,1.1645
2026-06-12T16:17:25.551Z,MA,SELL - MARKET,1,USD 491.70,USD 491.70,USD,1.1600
2026-06-12T16:18:18.581834Z,,CASH TOP-UP,,,USD 5,USD,1.1599
2026-06-12T16:19:26.591460Z,,CASH TOP-UP,,,USD 30,USD,1.1600
2026-06-12T16:19:59.232Z,SPCX,BUY - MARKET,3,USD 165.56,USD 496.68,USD,1.1598
2026-06-15T18:21:47.270Z,SPCX,SELL - MARKET,3,USD 185.50,USD 556.50,USD,1.1626
2026-06-16T17:22:53.574Z,LMT,BUY - MARKET,1,USD 536.94,USD 536.94,USD,1.1638
2026-06-16T19:15:57.457545Z,,CASH WITHDRAWAL,,,USD -53,USD,1.1637
2026-06-29T16:53:03.843654Z,NVDA,DIVIDEND,,,USD 1.06,USD,1.1455
2026-06-29T19:16:09.734561Z,,CASH TOP-UP,,,USD 1000,USD,1.1449
2026-06-29T19:16:37.714Z,AAPL,BUY - MARKET,3,USD 282.54,USD 847.62,USD,1.1449
2026-06-29T19:17:51.518Z,CNH,SELL - MARKET,5,USD 11.25,USD 56.25,USD,1.1449
2026-06-29T19:21:34.215Z,TM,BUY - MARKET,1,USD 171.70,USD 171.70,USD,1.1450
2026-06-29T19:23:03.286137Z,,CASH WITHDRAWAL,,,USD -38.11,USD,1.1450
2026-07-01T15:01:09.209902Z,KO,DIVIDEND,,,USD 0.90,USD,1.1420
2026-07-09T17:31:13.189575Z,TSM,DIVIDEND,,,USD 0.74,USD,1.1465
2026-07-29T17:37:27.470351Z,,CASH TOP-UP,,,USD 200,USD,1.1418
2026-07-29T17:37:59.540Z,IMAX,BUY - MARKET,4,USD 47.34,USD 189.36,USD,1.1417
2026-08-06T18:18:20.490927Z,,CASH TOP-UP,,,USD 500,USD,1.1549
2026-08-06T18:18:45.468092Z,,CASH WITHDRAWAL,,,USD -500,USD,1.1549
2026-08-14T18:51:58.252248Z,AAPL,DIVIDEND,,,USD 1.38,USD,1.1591
2026-08-18T18:10:48.557Z,AAPL,SELL - MARKET,1,USD 310.35,USD 310.33,USD,1.1602
2026-08-18T18:11:26.523Z,CMG,BUY - MARKET,9,USD 33.82,USD 304.38,USD,1.1602
2026-08-26T18:43:58.280512Z,,CASH TOP-UP,,,USD 1000,USD,1.1678
2026-08-26T18:44:22.938Z,USAR,BUY - MARKET,20,USD 18.77,USD 375.40,USD,1.1678
2026-08-26T18:44:47.666Z,MP,BUY - MARKET,5,USD 58.54,USD 292.70,USD,1.1678
2026-08-26T18:45:36.547504Z,,CASH TOP-UP,,,USD 10,USD,1.1678
2026-08-26T18:46:18.877269Z,,CASH TOP-UP,,,USD 2,USD,1.1678
2026-08-26T18:46:42.117Z,TSLA,BUY - MARKET,1,USD 345.76,USD 345.76,USD,1.1678
2026-08-27T16:49:52.109Z,NVDA,SELL - MARKET,2,USD 228.97,USD 457.94,USD,1.1678
